"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
University Heights,"Information, Finance, Real Estate",2021,Percent,0.07159,205
Concourse/Highbridge,"Information, Finance, Real Estate",2021,Percent,0.06088,204
Unionport/Soundview,"Information, Finance, Real Estate",2021,Percent,0.06574,209
Mott Haven,"Information, Finance, Real Estate",2021,Percent,0.0735,201
Hunts Point,"Information, Finance, Real Estate",2021,Percent,0.0735,202
Washington Heights,"Information, Finance, Real Estate",2021,Percent,0.1075,112
Manhattanville,"Information, Finance, Real Estate",2021,Percent,0.11919,109
Central Harlem,"Information, Finance, Real Estate",2021,Percent,0.13234,110
East Harlem,"Information, Finance, Real Estate",2021,Percent,0.12816,111
Upper East Side,"Information, Finance, Real Estate",2021,Percent,0.26878,108
Upper West Side,"Information, Finance, Real Estate",2021,Percent,0.24276,107
Chelsea/Clinton,"Information, Finance, Real Estate",2021,Percent,0.27549,104
Midtown Business District,"Information, Finance, Real Estate",2021,Percent,0.27549,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2021,Percent,0.29853,106
Lower East Side,"Information, Finance, Real Estate",2021,Percent,0.18908,103
Battery Park/Tribeca,"Information, Finance, Real Estate",2021,Percent,0.32044,101
Greenwich Village,"Information, Finance, Real Estate",2021,Percent,0.32044,102
Tottenville,"Information, Finance, Real Estate",2021,Percent,0.12398,503
South Beach,"Information, Finance, Real Estate",2021,Percent,0.11676,502
St. George,"Information, Finance, Real Estate",2021,Percent,0.09607,501
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2021,Percent,0.19347,301
Bushwick,"Information, Finance, Real Estate",2021,Percent,0.12334,304
Bedford Stuyvesant,"Information, Finance, Real Estate",2021,Percent,0.12647,303
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2021,Percent,0.20702,302
Park Slope,"Information, Finance, Real Estate",2021,Percent,0.20584,306
Crown Heights North,"Information, Finance, Real Estate",2021,Percent,0.15612,308
Brownsville,"Information, Finance, Real Estate",2021,Percent,0.07182,316
East New York,"Information, Finance, Real Estate",2021,Percent,0.06214,305
Canarsie,"Information, Finance, Real Estate",2021,Percent,0.08553,318
East Flatbush,"Information, Finance, Real Estate",2021,Percent,0.08786,317
Crown Heights South,"Information, Finance, Real Estate",2021,Percent,0.11589,309
Sunset Park,"Information, Finance, Real Estate",2021,Percent,0.0939,307
Bay Ridge,"Information, Finance, Real Estate",2021,Percent,0.12929,310
Borough Park,"Information, Finance, Real Estate",2021,Percent,0.10314,312
Flatbush/Midwood,"Information, Finance, Real Estate",2021,Percent,0.10633,314
Sheepshead Bay,"Information, Finance, Real Estate",2021,Percent,0.119,315
Bensonhurst,"Information, Finance, Real Estate",2021,Percent,0.08932,311
Coney Island,"Information, Finance, Real Estate",2021,Percent,0.10593,313
Astoria,"Information, Finance, Real Estate",2021,Percent,0.15732,401
Jackson Heights,"Information, Finance, Real Estate",2021,Percent,0.06573,403
Flushing,"Information, Finance, Real Estate",2021,Percent,0.09901,407
Bayside,"Information, Finance, Real Estate",2021,Percent,0.13311,411
Queens Village,"Information, Finance, Real Estate",2021,Percent,0.08753,413
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2021,Percent,0.09819,408
Elmhurst/Corona,"Information, Finance, Real Estate",2021,Percent,0.07191,404
Rego Park/Forest Hills,"Information, Finance, Real Estate",2021,Percent,0.16657,406
Sunnyside/Woodside,"Information, Finance, Real Estate",2021,Percent,0.12749,402
Ridgewood/Glendale,"Information, Finance, Real Estate",2021,Percent,0.1,405
Woodhaven,"Information, Finance, Real Estate",2021,Percent,0.09235,409
Jamaica/St. Albans,"Information, Finance, Real Estate",2021,Percent,0.0819,412
Howard Beach,"Information, Finance, Real Estate",2021,Percent,0.09207,410
The Rockaways,"Information, Finance, Real Estate",2021,Percent,0.06899,414
Bronx,"Information, Finance, Real Estate",2021,Percent,0.07823,36005
Brooklyn,"Information, Finance, Real Estate",2021,Percent,0.1241,36047
Manhattan,"Information, Finance, Real Estate",2021,Percent,0.22035,36061
Queens,"Information, Finance, Real Estate",2021,Percent,0.10194,36081
Staten Island,"Information, Finance, Real Estate",2021,Percent,0.11185,36085
New York City,"Information, Finance, Real Estate",2021,Percent,0.13159,3651000
Riverdale,Management and Professional Services,2021,Number,5665,208
Williamsbridge,Management and Professional Services,2021,Number,6668,212
Throgs Neck,Management and Professional Services,2021,Number,5171,210
Pelham Parkway,Management and Professional Services,2021,Number,5823,211
Morrisania,Management and Professional Services,2021,Number,2845.952,203
East Tremont,Management and Professional Services,2021,Number,2971.048,206
Bedford Park,Management and Professional Services,2021,Number,4987,207
University Heights,Management and Professional Services,2021,Number,4752,205
Concourse/Highbridge,Management and Professional Services,2021,Number,6814,204
Unionport/Soundview,Management and Professional Services,2021,Number,6341,209
Mott Haven,Management and Professional Services,2021,Number,3582.40134,201
Hunts Point,Management and Professional Services,2021,Number,2045.59866,202
Washington Heights,Management and Professional Services,2021,Number,12810,112
Manhattanville,Management and Professional Services,2021,Number,9281,109
Central Harlem,Management and Professional Services,2021,Number,9395,110
East Harlem,Management and Professional Services,2021,Number,7496,111
Upper East Side,Management and Professional Services,2021,Number,27655,108
Upper West Side,Management and Professional Services,2021,Number,26877,107
Chelsea/Clinton,Management and Professional Services,2021,Number,18493.96939,104
Midtown Business District,Management and Professional Services,2021,Number,9256.03061,105
Murray Hill/Stuyvesant,Management and Professional Services,2021,Number,24506,106
Lower East Side,Management and Professional Services,2021,Number,17719,103
Battery Park/Tribeca,Management and Professional Services,2021,Number,10216.84585,101
Greenwich Village,Management and Professional Services,2021,Number,15082.15415,102
Tottenville,Management and Professional Services,2021,Number,9094,503
South Beach,Management and Professional Services,2021,Number,7538,502
St. George,Management and Professional Services,2021,Number,9351,501
Williamsburg/Greenpoint,Management and Professional Services,2021,Number,22276,301
Bushwick,Management and Professional Services,2021,Number,11463,304
Bedford Stuyvesant,Management and Professional Services,2021,Number,12072,303
Fort Greene/Brooklyn Hts,Management and Professional Services,2021,Number,21114,302
Park Slope,Management and Professional Services,2021,Number,18529,306
Crown Heights North,Management and Professional Services,2021,Number,12635,308
Brownsville,Management and Professional Services,2021,Number,4981,316
East New York,Management and Professional Services,2021,Number,6875,305
Canarsie,Management and Professional Services,2021,Number,8925,318
East Flatbush,Management and Professional Services,2021,Number,6309,317
Crown Heights South,Management and Professional Services,2021,Number,7447,309
Sunset Park,Management and Professional Services,2021,Number,8857,307
Bay Ridge,Management and Professional Services,2021,Number,8536,310
Borough Park,Management and Professional Services,2021,Number,6300,312
Flatbush/Midwood,Management and Professional Services,2021,Number,9098,314
Sheepshead Bay,Management and Professional Services,2021,Number,7284,315
Bensonhurst,Management and Professional Services,2021,Number,9233,311
Coney Island,Management and Professional Services,2021,Number,4653,313
Astoria,Management and Professional Services,2021,Number,17302,401
Jackson Heights,Management and Professional Services,2021,Number,9854,403
Flushing,Management and Professional Services,2021,Number,12466,407
Bayside,Management and Professional Services,2021,Number,7639,411
Queens Village,Management and Professional Services,2021,Number,8933,413
Fresh Meadows/Briarwood,Management and Professional Services,2021,Number,8065,408
Elmhurst/Corona,Management and Professional Services,2021,Number,7428,404
Rego Park/Forest Hills,Management and Professional Services,2021,Number,11003,406
Sunnyside/Woodside,Management and Professional Services,2021,Number,14064,402
Ridgewood/Glendale,Management and Professional Services,2021,Number,11821,405
Woodhaven,Management and Professional Services,2021,Number,8434,409
Jamaica/St. Albans,Management and Professional Services,2021,Number,9263,412
Howard Beach,Management and Professional Services,2021,Number,6269,410
The Rockaways,Management and Professional Services,2021,Number,5536,414
Bronx,Management and Professional Services,2021,Number,57666,36005
Brooklyn,Management and Professional Services,2021,Number,186587,36047
Manhattan,Management and Professional Services,2021,Number,188788,36061
Queens,Management and Professional Services,2021,Number,138028,36081
Staten Island,Management and Professional Services,2021,Number,25983,36085
New York City,Management and Professional Services,2021,Number,597052,3651000
Riverdale,Management and Professional Services,2021,Percent,0.00948,208
Williamsbridge,Management and Professional Services,2021,Percent,0.01116,212
Throgs Neck,Management and Professional Services,2021,Percent,0.00865,210
Pelham Parkway,Management and Professional Services,2021,Percent,0.00974,211
Morrisania,Management and Professional Services,2021,Percent,0.00973,203
East Tremont,Management and Professional Services,2021,Percent,0.00973,206
Bedford Park,Management and Professional Services,2021,Percent,0.00834,207
University Heights,Management and Professional Services,2021,Percent,0.00795,205
Concourse/Highbridge,Management and Professional Services,2021,Percent,0.0114,204
Unionport/Soundview,Management and Professional Services,2021,Percent,0.01061,209
Mott Haven,Management and Professional Services,2021,Percent,0.00942,201
Hunts Point,Management and Professional Services,2021,Percent,0.00942,202
Washington Heights,Management and Professional Services,2021,Percent,0.02143,112
Manhattanville,Management and Professional Services,2021,Percent,0.01553,109
Central Harlem,Management and Professional Services,2021,Percent,0.01572,110
East Harlem,Management and Professional Services,2021,Percent,0.01254,111
Upper East Side,Management and Professional Services,2021,Percent,0.04627,108
Upper West Side,Management and Professional Services,2021,Percent,0.04497,107
Chelsea/Clinton,Management and Professional Services,2021,Percent,0.04643,104
Midtown Business District,Management and Professional Services,2021,Percent,0.04643,105
Murray Hill/Stuyvesant,Management and Professional Services,2021,Percent,0.041,106
Lower East Side,Management and Professional Services,2021,Percent,0.02965,103
Battery Park/Tribeca,Management and Professional Services,2021,Percent,0.04233,101
Greenwich Village,Management and Professional Services,2021,Percent,0.04233,102
Tottenville,Management and Professional Services,2021,Percent,0.01522,503
South Beach,Management and Professional Services,2021,Percent,0.01261,502
St. George,Management and Professional Services,2021,Percent,0.01565,501
Williamsburg/Greenpoint,Management and Professional Services,2021,Percent,0.03727,301
Bushwick,Management and Professional Services,2021,Percent,0.01918,304
Bedford Stuyvesant,Management and Professional Services,2021,Percent,0.0202,303
Fort Greene/Brooklyn Hts,Management and Professional Services,2021,Percent,0.03533,302
Park Slope,Management and Professional Services,2021,Percent,0.031,306
Crown Heights North,Management and Professional Services,2021,Percent,0.02114,308
Brownsville,Management and Professional Services,2021,Percent,0.00833,316
East New York,Management and Professional Services,2021,Percent,0.0115,305
Canarsie,Management and Professional Services,2021,Percent,0.01493,318
East Flatbush,Management and Professional Services,2021,Percent,0.01056,317
Crown Heights South,Management and Professional Services,2021,Percent,0.01246,309
Sunset Park,Management and Professional Services,2021,Percent,0.01482,307
Bay Ridge,Management and Professional Services,2021,Percent,0.01428,310
Borough Park,Management and Professional Services,2021,Percent,0.01054,312
Flatbush/Midwood,Management and Professional Services,2021,Percent,0.01522,314
Sheepshead Bay,Management and Professional Services,2021,Percent,0.01219,315
Bensonhurst,Management and Professional Services,2021,Percent,0.01545,311
Coney Island,Management and Professional Services,2021,Percent,0.00778,313
Astoria,Management and Professional Services,2021,Percent,0.02895,401
Jackson Heights,Management and Professional Services,2021,Percent,0.01649,403
Flushing,Management and Professional Services,2021,Percent,0.02086,407
Bayside,Management and Professional Services,2021,Percent,0.01278,411
Queens Village,Management and Professional Services,2021,Percent,0.01495,413
Fresh Meadows/Briarwood,Management and Professional Services,2021,Percent,0.01349,408
Elmhurst/Corona,Management and Professional Services,2021,Percent,0.01243,404
Rego Park/Forest Hills,Management and Professional Services,2021,Percent,0.01841,406
Sunnyside/Woodside,Management and Professional Services,2021,Percent,0.02353,402
Ridgewood/Glendale,Management and Professional Services,2021,Percent,0.01978,405
Woodhaven,Management and Professional Services,2021,Percent,0.01411,409
Jamaica/St. Albans,Management and Professional Services,2021,Percent,0.0155,412
Howard Beach,Management and Professional Services,2021,Percent,0.01049,410
The Rockaways,Management and Professional Services,2021,Percent,0.00926,414
Bronx,Management and Professional Services,2021,Percent,0.09648,36005
Brooklyn,Management and Professional Services,2021,Percent,0.31218,36047
Manhattan,Management and Professional Services,2021,Percent,0.31586,36061
Queens,Management and Professional Services,2021,Percent,0.23094,36081
Staten Island,Management and Professional Services,2021,Percent,0.04347,36085
New York City,Management and Professional Services,2021,Percent,0.99893,3651000
Riverdale,Other Services,2021,Number,2633,208
Williamsbridge,Other Services,2021,Number,3801,212
Throgs Neck,Other Services,2021,Number,2006,210
Pelham Parkway,Other Services,2021,Number,3048,211
Morrisania,Other Services,2021,Number,1766.18303,203
East Tremont,Other Services,2021,Number,1843.81697,206
Bedford Park,Other Services,2021,Number,4315,207
University Heights,Other Services,2021,Number,3090,205
Concourse/Highbridge,Other Services,2021,Number,3184,204
Unionport/Soundview,Other Services,2021,Number,3066,209
Mott Haven,Other Services,2021,Number,1716.08991,201
Hunts Point,Other Services,2021,Number,979.91009,202
Washington Heights,Other Services,2021,Number,6436,112
Manhattanville,Other Services,2021,Number,4147,109
Central Harlem,Other Services,2021,Number,3586,110
East Harlem,Other Services,2021,Number,2069,111
Upper East Side,Other Services,2021,Number,5272,108
Upper West Side,Other Services,2021,Number,4183,107
